ID	term	parent	description	synonyms	related terms	wiki	other ontology terms	Ensembl documentation
ENSGLOSSARY:0000118	Genetic marker	Variant	A measurable locus that varies within a population.				SO:0001645	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000119	Tandem repeat	Variant	Two or more adjacent copies of a region (of length greater than 1).				SO:0000705	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000120	Alu insertion	Structural variant	An insertion of sequence from the Alu family of mobile elements.				SO:0002063	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000121	Complex structural alteration	Structural variant	"A structural sequence alteration or rearrangement encompassing one or more genome fragments, with four or more breakpoints."				SO:0001784	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000122	Complex substitution	Structural variant	"When no simple or well defined DNA mutation event describes the observed DNA change, the keyword \""complex\"" should be used. Usually there are multiple equally plausible explanations for the change."				SO:1000005	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000123	Interchromosomal breakpoint	Translocation	A rearrangement breakpoint between two different chromosomes.				SO:0001873	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000124	Interchromosomal translocation	Translocation	A translocation where the regions involved are from different chromosomes.				SO:0002060	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000125	Intrachromosomal breakpoint	Translocation	A rearrangement breakpoint within the same chromosome.				SO:0001874	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000126	Intrachromosomal translocation	Translocation	A translocation where the regions involved are from the same chromosome.				SO:0002061	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000127	Loss of heterozygosity	Structural variant	A functional variant whereby the sequence alteration causes a loss of function of one allele of a gene.				SO:0001786	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000128	Mobile element deletion	Structural variant	A deletion of a mobile element when comparing a reference sequence (has mobile element) to a individual sequence (does not have mobile element).				SO:0002066	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000129	Mobile element insertion	Structural variant	A kind of insertion where the inserted sequence is a mobile element.				SO:0001837	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000130	Novel sequence insertion	Structural variant	An insertion the sequence of which cannot be mapped to the reference genome.				SO:0001838	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000131	Short tandem repeat variant	Variant	A variation that expands or contracts a tandem repeat with regard to a reference.				SO:0002096	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000132	Tandem duplication	Structural variant	A duplication consisting of 2 identical adjacent regions.				SO:1000173	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000133	Probe	Structural variant	A DNA sequence used experimentally to detect the presence or absence of a complementary nucleic acid.				SO:0000051	http://www.ensembl.org/info/genome/variation/data_description.html
ENSGLOSSARY:0000134	Variant consequence	Variant	The effect that the variant has on each feature that it overlaps. A variant will have a consequence for each feature that it overlaps.					http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000135	Variant impact	Variant consequence	"A subjective classification of the severity of the variant consequence, based on agreement with SNPEff."					http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000136	High impact variant consequence	Variant impact	"The variant is assumed to have high (disruptive) impact in the protein, probably causing protein truncation, loss of function or triggering nonsense mediated decay."	HIGH				http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000137	Moderate impact variant consequence	Variant impact	A non-disruptive variant that might change protein effectiveness.	MODERATE				http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000138	Low impact variant consequence	Variant impact	A variant that is assumed to be mostly harmless or unlikely to change protein behaviour.	LOW				http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000139	Modifier impact variant consequence	Variant impact	"Usually non-coding variants or variants affecting non-coding genes, where predictions are difficult or there is no evidence of impact."	MODIFIER				http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000140	Transcript ablation	Variant consequence	A feature ablation whereby the deleted region includes a transcript feature				SO:0001893	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000141	Splice acceptor variant	Variant consequence	A splice variant that changes the 2 base region at the 3' end of an intron				SO:0001574	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000142	Splice donor variant	Variant consequence	A splice variant that changes the 2 base region at the 5' end of an intron				SO:0001575	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000143	Stop gained	Variant consequence	"A sequence variant whereby at least one base of a codon is changed, resulting in a premature stop codon, leading to a shortened transcript"				SO:0001587	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000144	Frameshift variant	Variant consequence	"A sequence variant which causes a disruption of the translational reading frame, because the number of nucleotides inserted or deleted is not a multiple of three"				SO:0001589	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000145	Stop lost	Variant consequence	"A sequence variant where at least one base of the terminator codon (stop) is changed, resulting in an elongated transcript"				SO:0001578	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000146	Start lost	Variant consequence	A codon variant that changes at least one base of the canonical start codo				SO:0002012	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000147	Transcript amplification	Variant consequence	A feature amplification of a region containing a transcript				SO:0001889	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000148	Inframe insertion	Variant consequence	An inframe non synonymous variant that inserts bases into in the coding sequenc				SO:0001821	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000149	Inframe deletion	Variant consequence	An inframe non synonymous variant that deletes bases from the coding sequenc				SO:0001822	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000150	Missense variant	Variant consequence	"A sequence variant, that changes one or more bases, resulting in a different amino acid sequence but where the length is preserved"				SO:0001583	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000151	Protein altering variant	Variant consequence	A sequence_variant which is predicted to change the protein encoded in the coding sequence				SO:0001818	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000152	Splice region variant	Variant consequence	"A sequence variant in which a change has occurred within the region of the splice site, either within 1-3 bases of the exon or 3-8 bases of the intron"				SO:0001630	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000153	Incomplete terminal codon variant	Variant consequence	A sequence variant where at least one base of the final codon of an incompletely annotated transcript is changed				SO:0001626	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000154	Stop retained variant	Variant consequence	"A sequence variant where at least one base in the terminator codon is changed, but the terminator remains"				SO:0001567	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000155	Synonymous variant	Variant consequence	A sequence variant where there is no resulting change to the encoded amino acid				SO:0001819	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000156	Coding sequence variant	Variant consequence	A sequence variant that changes the coding sequence				SO:0001580	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000157	Mature miRNA variant	Variant consequence	A transcript variant located with the sequence of the mature miRNA				SO:0001620	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000158	5 prime UTR variant	Variant consequence	A UTR variant of the 5' UTR				SO:0001623	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000159	3 prime UTR variant	Variant consequence	A UTR variant of the 3' UTR				SO:0001624	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000160	Non coding transcript exon variant	Variant consequence	A sequence variant that changes non-coding exon sequence in a non-coding transcript				SO:0001792	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000161	Intron variant	Variant consequence	A transcript variant occurring within an intron				SO:0001627	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000162	NMD transcript variant	Variant consequence	A variant in a transcript that is the target of NMD				SO:0001621	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000163	Non coding transcript variant	Variant consequence	A transcript variant of a non coding RNA gene				SO:0001619	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000164	Upstream gene variant	Variant consequence	A sequence variant located 5' of a gene				SO:0001631	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000165	Downstream gene variant	Variant consequence	A sequence variant located 3' of a gene				SO:0001632	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000166	TFBS ablation	Variant consequence	A feature ablation whereby the deleted region includes a transcription factor binding site				SO:0001895	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000167	TFBS amplification	Variant consequence	A feature amplification of a region containing a transcription factor binding site				SO:0001892	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000168	TF binding site variant	Variant consequence	A sequence variant located within a transcription factor binding site				SO:0001782	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000169	Regulatory region ablation	Variant consequence	A feature ablation whereby the deleted region includes a regulatory region				SO:0001894	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000170	Regulatory region amplification	Variant consequence	A feature amplification of a region containing a regulatory region				SO:0001891	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000171	Feature elongation	Variant consequence	A sequence variant located within a regulatory region				SO:0001907	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000172	Regulatory region variant	Variant consequence	A sequence variant located within a regulatory region				SO:0001566	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000173	Feature truncation	Variant consequence	"A sequence variant that causes the reduction of a genomic feature, with regard to the reference sequence"				SO:0001906	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000174	Intergenic variant	Variant consequence	"A sequence variant located in the intergenic region, between genes"				SO:0001628	http://www.ensembl.org/info/genome/variation/predicted_data.html
ENSGLOSSARY:0000175	Ambiguity code	Variant	A single letter code that represents two or more possible nucleotides at a single base locus.			https://en.wikipedia.org/wiki/International_Union_of_Pure_and_Applied_Chemistry#Amino_acid_and_nucleotide_base_codes		
ENSGLOSSARY:0000176	Flagged variant	Variant	"Variants that failed our quality control analyses, therefore they are flagged as suspicious."	Failed variant				http://www.ensembl.org/info/genome/variation/data_description.html#quality_control
ENSGLOSSARY:0000177	Clinical significance	Variant	"A classification of a variant's impact on disease, taken from ClinVar."	"Clin sig, pathogenicity"				http://www.ensembl.org/info/genome/variation/data_description.html#clin_significance
ENSGLOSSARY:0000178	Linkage disequilibrium	Variant	A measure of how often two variants or specific sequences are inherited together.	"LD, Linkage"				https://en.wikipedia.org/wiki/Linkage_disequilibrium
ENSGLOSSARY:0000179	r2	Linkage disequilibrium	The correlation between a pair of loci. It varies from 0 (loci are in complete linkage equilibrium) to 1 (loci are in complete linkage disequilibrium and coinherited).	r squared				https://en.wikipedia.org/wiki/Linkage_disequilibrium
ENSGLOSSARY:0000180	D'	Linkage disequilibrium	"The difference between the observed and the expected frequency of a given haplotype. If two loci are independent (i.e. in linkage equilibrium and therefore not coinherited at all), the D' value will be 0."	D prime				https://en.wikipedia.org/wiki/Linkage_disequilibrium
ENSGLOSSARY:0000181	Haplotype (variation)	Linkage disequilibrium	A set of variant alleles in a contiguous genomic region. A haplotype block describes a set of alleles which tend to be inherited together.		Haplotype (genome)		SO:0001024	https://en.wikipedia.org/wiki/Linkage_disequilibrium
ENSGLOSSARY:0000182	Transcript haplotype	Haplotype (variation)	"The transcript sequence derived from one copy of a gene in an individual, based on the phased 1000 Genomes genotype data. CDS and protein sequences are derived from this."					
ENSGLOSSARY:0000183	Genome		The complete set of DNA found in each cell.			https://en.wikipedia.org/wiki/Genome		
ENSGLOSSARY:0000184	Genome assembly	Genome	"A computational representation of the sequence of a haploid genome, representative of a species or strain."	"assembly, reference assembly"		https://en.wikipedia.org/wiki/Sequence_assembly	SO:0000353	http://www.ensembl.org/info/genome/genebuild/assembly.html
ENSGLOSSARY:0000185	Coverage	Genome assembly	Refers to the number of overlapping sequences used to build a region of the assembly. High coverage indicates a good amount of sequence information while low coverage reflects a low amount of sequence information.					http://www.ensembl.org/info/genome/genebuild/assembly.html
ENSGLOSSARY:0000186	Primary assembly	Genome assembly	"The underlying genome sequence, without alternative sequence included."	reference sequence				https://www.ensembl.org/info/genome/genebuild/haplotypes_patches.html
ENSGLOSSARY:0000187	Alternative sequence	Genome assembly	Genomic sequence that differs from the genomic DNA on the primary assembly. These are represented as sequence on top of the primary assembly. Provided by the GRC for human and mouse.	non-reference sequence				https://www.ensembl.org/info/genome/genebuild/haplotypes_patches.html
ENSGLOSSARY:0000188	Patch	Alternative sequence	New sequences that have been added to the genome assembly since its release. There are two types: fix and nove patches.					https://www.ensembl.org/info/genome/genebuild/haplotypes_patches.html
ENSGLOSSARY:0000189	Haplotype (genome)	Alternative sequence	"Known variations to the primary assembly, due to variability in the human genome sequence (eg. the highly variable MHC locus). These were included as part of the genome assembly when it was first produced."		Haplotype (variation)	https://en.wikipedia.org/wiki/Major_histocompatibility_complex		https://www.ensembl.org/info/genome/genebuild/haplotypes_patches.html
ENSGLOSSARY:0000190	Novel patch	Patch	"Novel patches represent new allelic loci. They can usually be considered as similar to haplotypes and are likely to be reclassified as such in the next genome assembly, but not necessarily."					https://www.ensembl.org/info/genome/genebuild/haplotypes_patches.html
ENSGLOSSARY:0000191	Fix patch	Patch	"Fix patches are where the primary assembly was found to be incorrect, and the patch reflects the corrected sequence."					https://www.ensembl.org/info/genome/genebuild/haplotypes_patches.html
ENSGLOSSARY:0000192	Contig	Genome assembly	A contig is a contiguous stretch of DNA sequence without gaps that has been assembled solely based on direct sequencing information.			https://en.wikipedia.org/wiki/Contig	SO:0000149	https://www.ensembl.org/info/genome/genebuild/chromosomes_scaffolds_contigs.html
ENSGLOSSARY:0000193	Scaffold	Genome assembly	"Scaffolds are sets of ordered, oriented contigs, assembled by sequence overlap. They are longer sequences than contigs, but shorter than full chromosomes."	Supercontig			SO:0000148	https://www.ensembl.org/info/genome/genebuild/chromosomes_scaffolds_contigs.html
ENSGLOSSARY:0000194	Cytogenetic band	Genome assembly	"A banding pattern on a chromosome resulting from staining and examination by microscopy. These are named in terms of the chromosome arm they are found on, and are often used as a shorthand for describing the location of genomic features."	"chromosome band, cytogenetic map"		https://en.wikipedia.org/wiki/Cytogenetics		
ENSGLOSSARY:0000195	Clone	Genome assembly	"A segment of DNA that has been inserted into a vector molecule, such as a plasmid, and then replicated to form many identical copies."					
ENSGLOSSARY:0000196	BAC	Clone	"A vector used to clone DNA fragments (100 to 300-kb insert size; average, 150 kb) from another species so that it can be replicated in bacteria. Many genomes (such as human) were sequenced by cloning segments into BACs, amplifying and sequencing the clones."	Bacterial artificial chromosome		https://en.wikipedia.org/wiki/Bacterial_artificial_chromosome		https://www.ensembl.org/info/genome/genebuild/chromosomes_scaffolds_contigs.html
ENSGLOSSARY:0000197	YAC	Clone	"Originated from a bacterial plasmid, a YAC contains a yeast centromeric region, a yeast origin of DNA replication, a cluster of unique rectriction sites and a selectable marker and a telomere region at the en of each arm. YACs are capable of cloning extremely large segments of DNA (over 1 megabase long) into a host cell, where the DNA is propagated along with the other chromosomes of the yeast cell."	Yeast artificial chromosome		https://en.wikipedia.org/wiki/Yeast_artificial_chromosome		
ENSGLOSSARY:0000198	Cosmid	Clone	DNA from a bacterial virus spliced with a small fragment of a genome (up to 50 kb) to be amplified and sequenced.			https://en.wikipedia.org/wiki/Cosmid		
ENSGLOSSARY:0000199	Base pairs (genome size)	Genome assembly	"The actual number of bases of sequence we have for a full genome assembly, including alternative sequences and PARs, excluding gaps."					
ENSGLOSSARY:0000200	Golden path (genome size)	Genome assembly	"The golden path is the length of the non-redundant reference assembly. It excludes alternative sequences and PARs, but includes the estimated size of the gaps."				SO:0000688	
ENSGLOSSARY:0000201	Coordinate system	Genome assembly	Which level of the assembly we are working on.	coord_system				https://www.ensembl.org/info/genome/genebuild/chromosomes_scaffolds_contigs.html
ENSGLOSSARY:0000202	Karyotype	Genome assembly	The number of chromosomes of a genome.					
ENSGLOSSARY:0000203	PAR	Genome assembly	Small regions of sequence identity located at the tips of the short and the long arms of the X and Y chromosomes where recombination and genetic exchange take place. Genes within the pseudoautosomal region are not sex linked.	pseudoautosomal region				https://www.ensembl.org/info/genome/genebuild/human_PARS.html
ENSGLOSSARY:0000204	Slice	Genome assembly	"The term ""slice"" in Ensembl refers to a length of DNA sequence. A slice can be any length, from one base long to the entire length of a chromosome."					http://www.ensembl.org/info/docs/api/core/core_tutorial.html#slices
ENSGLOSSARY:0000205	Toplevel	Genome assembly	"The largest continuous sequence for an organism. The official technical definition for toplevel sequences are 'sequence regions in the genome assembly that are not a component of another sequence region'. For example, when a genome is assembled into chromosomes, toplevel sequences will be chromosomes and unplaced scaffolds. If a genome has only been assembled into scaffolds, then toplevel sequences are scaffolds and unplaced contigs."					https://www.ensembl.org/info/genome/genebuild/chromosomes_scaffolds_contigs.html
ENSGLOSSARY:0000206	Placed scaffold	Scaffold	A scaffold that can be positioned on a chromosome based on genetic mapping information.					https://www.ensembl.org/info/genome/genebuild/chromosomes_scaffolds_contigs.html
ENSGLOSSARY:0000207	Unplaced scaffold	Scaffold	A scaffold that cannot be positioned on a chromosome.	"Unassigned scaffold, unassigned supercontig, unplaced supercontig"			SO:0001875	https://www.ensembl.org/info/genome/genebuild/chromosomes_scaffolds_contigs.html
ENSGLOSSARY:0000208	Ensembl sources		Publicly available database that Ensembl imports data from.					
ENSGLOSSARY:0000209	Gene source database	Ensembl sources	"Database from which Ensembl imports cDNA or protein sequence for gene annotation, or gene names."					
ENSGLOSSARY:0000210	GENCODE	Gene source database	The aim of GENCODE as a sub-project of the ENCODE scale-up project is to annotate all evidence-based gene features in the entire human and mouse genomes at a high accuracy. The GENCODE gene set is the default geneset in Ensembl and is equivalent to the Ensembl/HAVANA merged genes. https://www.gencodegenes.org/			https://en.wikipedia.org/wiki/GENCODE		http://www.ensembl.org/info/genome/genebuild/annotation_merge.html
ENSGLOSSARY:0000211	RefSeq	Gene source database	"NCBI's Reference Sequences (RefSeq) database is a curated database of Genbank's genomes, mRNAs and proteins. RefSeq attempts to provide a comprehensive, integrated, non-redundant set of sequences, including genomic DNA, tRNA, and protein products. https://www.ncbi.nlm.nih.gov/refseq/"			https://en.wikipedia.org/wiki/RefSeq		http://www.ensembl.org/info/genome/genebuild/annotation_sources.html
ENSGLOSSARY:0000212	UniProt	Gene source database	"Database of protein sequence and functional information, based at European Bioinformatics Institute (EMBL-EBI), the SIB Swiss Institute of Bioinformatics and the Protein Information Resource (PIR). These sequences are used as evidence for annotating Ensembl genes. http://www.uniprot.org/"	"UniProtKB, UniProt Knowledgebase"		https://en.wikipedia.org/wiki/UniProt		http://www.ensembl.org/info/genome/genebuild/annotation_sources.html
ENSGLOSSARY:0000213	IMGT	Gene source database	International ImMunoGeneTics information system. Database of immunoglobulin and T-cell receptor annotation. We collaborate with IMGT on manual annotation of somatically recombined genes. http://www.imgt.org/	"International ImMunoGeneTics information system, ImMunoGeneTics"		https://en.wikipedia.org/wiki/HLA_Informatics_Group		http://www.ensembl.org/info/genome/genebuild/ig_tcr.html
ENSGLOSSARY:0000214	SwissProt	UniProt	"UniProt/Swiss-Prot is a curated protein sequence database that provides a high level of annotation, a minimal level of redundancy and high level of integration with other databases. These sequences are used as evidence for annotating Ensembl genes."	UniProt/SwissProt		https://en.wikipedia.org/wiki/UniProt#UniProtKB/Swiss-Prot		http://www.ensembl.org/info/genome/genebuild/annotation_sources.html
ENSGLOSSARY:0000215	TrEMBL	UniProt	A subset of TrEMBL (Translated EMBL database) containing the computer-annotated protein translations of all coding sequences (CDS) present in the ENA (formerly EMBL-bank) that are not yet incorporated into the UniProt/SwissProt database. These sequences are used as evidence for annotating Ensembl genes.	UniProt/TrEMBL		https://en.wikipedia.org/wiki/UniProt#UniProtKB/TrEMBL		http://www.ensembl.org/info/genome/genebuild/annotation_sources.html
ENSGLOSSARY:0000216	INSDC	Gene source database	"An international consortium between the ENA, GenBank and DDBJ to share submissions of nucleotide sequence. These sequences are used as evidence for annotating Ensembl genes. http://www.insdc.org/"	International Nucleotide Sequence Database Collaboration		https://en.wikipedia.org/wiki/International_Nucleotide_Sequence_Database_Collaboration		http://www.ensembl.org/info/genome/genebuild/annotation_sources.html
ENSGLOSSARY:0000217	ENA	INSDC	"Europe's primary nucleotide sequence resource. The main sources of the DNA and RNA sequences in the database are submissions from individual researchers, genome sequencing projects and patent applications. https://www.ebi.ac.uk/ena"	European Nucleotide Archive		https://en.wikipedia.org/wiki/European_Nucleotide_Archive		http://www.ensembl.org/info/genome/genebuild/annotation_sources.html
ENSGLOSSARY:0000218	GenBank (database)	INSDC	The US branch of INSDC. https://www.ncbi.nlm.nih.gov/genbank/		GenBank (file format)	https://en.wikipedia.org/wiki/GenBank		http://www.ensembl.org/info/genome/genebuild/annotation_sources.html
ENSGLOSSARY:0000219	DDBJ	INSDC	The Asian branch of INSDC. http://www.ddbj.nig.ac.jp/	DNA Data Bank of Japan		https://en.wikipedia.org/wiki/DNA_Data_Bank_of_Japan		http://www.ensembl.org/info/genome/genebuild/annotation_sources.html
ENSGLOSSARY:0000220	Gene Ontology	Gene source database	"An organised hierarchy of terms produced by the Gene Ontology Consortium, used to describe the function of proteins. GO terms are split into three subcategories: biological processes (what the protein does), cellular component (where in the cell the protein is found), and molecular function (how the protein acts). http://www.geneontology.org/"	"GO, GO terms"		https://en.wikipedia.org/wiki/Gene_ontology		
ENSGLOSSARY:0000221	HGNC	Gene source database	"HGNC is responsible for approving unique symbols and names for human loci, including protein coding genes, ncRNA genes and pseudogenes, to allow unambiguous scientific communication. HGNC gene names are used for Ensembl human genes, where available, and for orthologous genes in other species. https://www.genenames.org/"	HUGO gene nomenclature committee		https://en.wikipedia.org/wiki/HUGO_Gene_Nomenclature_Committee		http://www.ensembl.org/info/genome/genebuild/gene_names.html
ENSGLOSSARY:0000222	Rfam	Gene source database	"The Rfam database is a collection of RNA families, each represented by multiple sequence alignments, consensus secondary structures and covariance models (CMs). These sequences are used as evidence for annotating Ensembl non-coding genes. http://rfam.xfam.org/"			https://en.wikipedia.org/wiki/Rfam		http://www.ensembl.org/info/genome/genebuild/annotation_sources.html
ENSGLOSSARY:0000223	miRbase	Gene source database	The miRBase database is a searchable database of published miRNA sequences and annotation. These sequences are used as evidence for annotating Ensembl miRNA genes. http://www.mirbase.org/			https://en.wikipedia.org/wiki/MiRBase		http://www.ensembl.org/info/genome/genebuild/annotation_sources.html
ENSGLOSSARY:0000224	MGI	Gene source database	"MGI is the international database resource for the laboratory mouse, providing integrated genetic, genomic, and biological data to facilitate the study of human health and disease. MGI gene names are used for Ensembl mouse genes, where available. http://www.informatics.jax.org/"	Mouse genome informatics		https://en.wikipedia.org/wiki/Mouse_Genome_Informatics		http://www.ensembl.org/info/genome/genebuild/gene_names.html
ENSGLOSSARY:0000225	zFIN	Gene source database	"An online biological database of information about the zebrafish (Danio rerio). zFIN gene names are used for Ensembl zebrafish genes, where available. https://zfin.org/"	Zebrafish Information Network		https://en.wikipedia.org/wiki/Zebrafish_Information_Network		http://www.ensembl.org/info/genome/genebuild/gene_names.html
ENSGLOSSARY:0000226	SGD	Gene source database	"Canonical database for the molecular biology and genetics of Saccharomyces cerevisiae, source of the annotation seen in Ensembl. https://www.yeastgenome.org/"	Saccharomyces Genome Database		https://en.wikipedia.org/wiki/Saccharomyces_Genome_Database		
ENSGLOSSARY:0000227	UCSC Genome Browser	Gene source database	"A genome browser hosted at the University of California Santa Cruz. Ensembl collaborates with UCSC in projects such as GENCODE, CCDS and TSL. https://genome.ucsc.edu/"	"UCSC, University of California Santa Cruz, Genome Browser"		https://en.wikipedia.org/wiki/UCSC_Genome_Browser		
ENSGLOSSARY:0000228	Epigenome source database	Ensembl sources	"Database from which Ensembl imports ChIP-seq, DNase-seq and other related datasets, which are used in the Ensembl regulatory build."					http://www.ensembl.org/info/genome/funcgen/regulation_sources.html
ENSGLOSSARY:0000229	ENCODE	Epigenome source database	"Project aiming to build a comprehensive parts list of functional elements in the human genome, including elements that act at the protein and RNA levels, and regulatory elements that control cells and circumstances in which a gene is active, by large scale functional analyses of laboratory cell lines. Used as a source for the Ensembl regulatory build. https://www.encodeproject.org/"	ENCyclopedia Of DNA Elements		https://en.wikipedia.org/wiki/ENCODE		http://www.ensembl.org/info/genome/funcgen/regulation_sources.html
ENSGLOSSARY:0000230	Blueprint Epigenomes	Epigenome source database	"Project aiming to apply functional genomics analysis on primary cells of the haematopoietic cell lineage from healthy and diseased individuals, to produce lineage-specific epigenomes. Used as a source for the Ensembl regulatory build. http://www.blueprint-epigenome.eu/"					http://www.ensembl.org/info/genome/funcgen/regulation_sources.html
ENSGLOSSARY:0000231	Roadmap Epigenomics	Epigenome source database	Project aiming to develop publicly available reference epigenome maps from a variety of cell types. http://www.roadmapepigenomics.org/			https://en.wikipedia.org/wiki/NCBI_Epigenomics#Roadmap_Epigenomics_Project		http://www.ensembl.org/info/genome/funcgen/regulation_sources.html
ENSGLOSSARY:0000232	Variation source database	Ensembl sources	"Database from which Ensembl imports variation data, including loci, sample genotypes, population frequencies and phenotype associations."					http://www.ensembl.org/info/genome/variation/sources_documentation.html
ENSGLOSSARY:0000233	dbSNP	Variation source database	"The Single Nucleotide Polymorphism database (dbSNP) is a public-domain archive for a broad collection of simple (short) genetic polymorphisms in human, maintained by NCBI. https://www.ncbi.nlm.nih.gov/projects/SNP/"	Single Nucleotide Polymorphism database		https://en.wikipedia.org/wiki/DbSNP		http://www.ensembl.org/info/genome/variation/sources_documentation.html
ENSGLOSSARY:0000234	EVA	Variation source database	The European Variation Archive is an open-access database of all types of genetic variation data from all species. https://www.ebi.ac.uk/eva/	European Variation Archive				http://www.ensembl.org/info/genome/variation/sources_documentation.html
ENSGLOSSARY:0000235	dbVar	Variation source database	"dbVar is NCBI's database of human genomic structural variation — insertions, deletions, duplications, inversions, mobile elements, and translocations. https://www.ncbi.nlm.nih.gov/dbvar/"					http://www.ensembl.org/info/genome/variation/sources_documentation.html
ENSGLOSSARY:0000236	DGVa	Variation source database	"The Database of Genomic Variants archive (DGVa) is a repository that provides archiving, accessioning and distribution of publicly available genomic structural variants, in all species.https://www.ebi.ac.uk/dgva"	Database of Genomic Variants archive				http://www.ensembl.org/info/genome/variation/sources_documentation.html
ENSGLOSSARY:0000237	1000 Genomes project	Variation source database	The goal of the 1000 Genomes Project was to find most genetic variants with frequencies of at least 1% in the human populations studied. Ensembl display sample genotypes and population frequencies from the 1000 Genomes project. http://www.internationalgenome.org/	"1kG, 1000G"		https://en.wikipedia.org/wiki/1000_Genomes_Project		http://www.ensembl.org/info/genome/variation/sources_documentation.html
ENSGLOSSARY:0000238	gnomAD	Variation source database	"An aggregation of publicly available whole genome and whole exome variant calling experiments in human. GnomAD was previously known as ExAC, when it contained only exome data. Ensembl display population frequencies from gnomAD. http://gnomad.broadinstitute.org/"	"Genome Aggregation Database,  Exome Aggregation Consortium, ExAC"				http://www.ensembl.org/info/genome/variation/sources_documentation.html
